case_id,title,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,source
VLAN-001,Missing VLAN 30 blocks inter-VLAN server access,"PC0 receives 192.168.10.10/24 and can ping its gateway 192.168.10.1, but cannot reach Server0 at 192.168.30.10 in VLAN 30.","Packet Tracer: S1 access Fa0/1 VLAN 10 (PC0), Fa0/24 intended VLAN 30 (Server0). R1 router-on-a-stick: G0/0.10 192.168.10.1/24 and G0/0.30 192.168.30.1/24. S1 G0/1 trunk to R1 G0/0.","PC0> ping 192.168.10.1
Reply from 192.168.10.1: bytes=32 time=1ms TTL=255

PC0> ping 192.168.30.10
Request timed out.

S1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/2, Fa0/3, Fa0/4, Fa0/5
10   STAFF                            active    Fa0/1
1002 fddi-default                     act/unsup
1003 token-ring-default               act/unsup

S1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
G0/1        on           802.1q         trunking      1
Port        Vlans allowed on trunk
G0/1        1-4094
Port        Vlans in spanning tree forwarding state and not pruned
G0/1        1,10

S1# show interfaces fa0/24 switchport
Name: Fa0/24
Switchport: Enabled
Administrative Mode: static access
Access Mode VLAN: 30 (Inactive)","VLAN 30 is missing from the VLAN database, so the server access port is inactive and inter-VLAN frames for 192.168.30.0/24 never enter the trunk.",L2,vlan,high,packet_tracer
VLAN-002,Access port placed in the wrong VLAN,PC1 was moved to the Sales floor and now has no connectivity to the Sales server at 192.168.20.10. It can only reach hosts that still sit on VLAN 1.,S2 Fa0/3 is the Sales access port for PC1. VLAN 20 SALES exists. R2 SVI VLAN 20 is 192.168.20.1/24. PC1 should be access VLAN 20.,"PC1> ipconfig
IP Address......................: 192.168.1.14
Subnet Mask.....................: 255.255.255.0
Default Gateway.................: 192.168.1.1

S2# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
20   SALES                            active    Fa0/10, Fa0/11
30   SERVERS                          active    Fa0/24

S2# show interfaces fa0/3 switchport
Name: Fa0/3
Administrative Mode: static access
Access Mode VLAN: 1 (default)

S2# show mac address-table interface fa0/3
          Mac Address Table
-------------------------------------------
Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
   1    00e0.f7a1.0003    DYNAMIC     Fa0/3","PC1 access port Fa0/3 is still in VLAN 1 instead of VLAN 20, so the host is on the default subnet and never joins the Sales broadcast domain.",L2,vlan,medium,packet_tracer
VLAN-003,Native VLAN mismatch on inter-switch trunk,"After adding a second switch, some hosts on VLAN 10 lose connectivity and CDP reports a native VLAN mismatch. Broadcasts from VLAN 1 appear on VLAN 10.",S1 G0/2 trunks to S3 G0/2. S1 native VLAN is 1. S3 was set to native VLAN 10 during a campus template copy. VLANs 10 and 20 must cross the trunk.,"S1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
G0/2        on           802.1q         trunking      1
Port        Vlans allowed on trunk
G0/2        1,10,20

S3# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
G0/2        on           802.1q         trunking      10
Port        Vlans allowed on trunk
G0/2        1,10,20

S1# show cdp neighbors detail
Device ID: S3
Interface: GigabitEthernet0/2
Native VLAN: 10
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on G0/2 (1), with S3 G0/2 (10)",Native VLAN mismatch on the S1-S3 trunk (VLAN 1 vs VLAN 10) leaks untagged frames between the wrong broadcast domains.,L2,vlan,high,packet_tracer
VLAN-004,Required VLAN not allowed on trunk,"Server0 in VLAN 30 is locally up on S1, but hosts on S4 never reach it. Same-switch VLAN 30 pings work. Cross-switch pings fail.","S1 G0/1 trunks to S4 G0/1. VLAN 10, 20, and 30 are in use. S4 has VLAN 30 created and Server0 is on S1 Fa0/24 access VLAN 30.","S1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
10   STAFF                            active    Fa0/1, Fa0/2
20   SALES                            active    Fa0/10
30   SERVERS                          active    Fa0/24

S1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
G0/1        on           802.1q         trunking      1
Port        Vlans allowed on trunk
G0/1        10,20
Port        Vlans in spanning tree forwarding state and not pruned
G0/1        10,20

S4# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
G0/1        on           802.1q         trunking      1
Port        Vlans allowed on trunk
G0/1        1-4094","VLAN 30 is pruned from the allowed VLAN list on S1 G0/1, so tagged server traffic never crosses the trunk to S4.",L2,vlan,high,packet_tracer
VLAN-005,Trunk forced to access mode on one side,"Inter-VLAN routing worked yesterday. After a junior engineer 'secured' S5, only VLAN 1 crosses to the router. VLAN 10 and 20 hosts lost their gateway.",Router-on-a-stick R3 G0/0 subinterfaces .10 and .20. S5 G0/1 must be a trunk. S5 ports Fa0/1-8 are access VLAN 10; Fa0/9-16 are access VLAN 20.,"R3# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/0.10  192.168.10.1    YES manual up                    up
GigabitEthernet0/0.20  192.168.20.1    YES manual up                    up

S5# show interfaces g0/1 switchport
Name: G0/1
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 1 (default)
Trunking Native Mode VLAN: 1 (default)
Trunking VLANs Enabled: ALL

S5# show interfaces trunk
S5#","S5 G0/1 was changed from trunk to static access VLAN 1, so only untagged VLAN 1 reaches the router and the subinterfaces no longer receive VLAN 10/20 tags.",L2,vlan,critical,packet_tracer
GW-001,Host default gateway points at the wrong address,PC0 pings other hosts on 192.168.10.0/24 but cannot reach the remote server 192.168.30.10. Traceroute dies immediately.,Single switch S1 VLAN 10. R1 SVI/router interface for the subnet is 192.168.10.1. PC0 was statically addressed after a printer template was copied onto the PC.,"PC0> ipconfig
IP Address......................: 192.168.10.25
Subnet Mask.....................: 255.255.255.0
Default Gateway.................: 192.168.10.254

PC0> ping 192.168.10.10
Reply from 192.168.10.10: bytes=32 time=1ms TTL=128

PC0> ping 192.168.10.1
Reply from 192.168.10.1: bytes=32 time=1ms TTL=255

PC0> ping 192.168.30.10
Request timed out.

R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10  192.168.10.1    YES manual up                    up
GigabitEthernet0/0.30  192.168.30.1    YES manual up                    up

S1# show mac address-table | include 192.168.10.254
S1#","PC0 default gateway is 192.168.10.254, but the only router on the subnet is 192.168.10.1. Off-subnet packets are sent to a nonexistent gateway.",L3,gateway,medium,packet_tracer
GW-002,Gateway address is outside the host subnet,"A newly imaged PC cannot reach anything beyond itself. Local pings to the supposed gateway fail, and the user cannot browse.",VLAN 40 VOICE subnet is 192.168.40.0/24. R1 SVI VLAN 40 is 192.168.40.1. PC2 was given mask 255.255.255.0 but gateway 192.168.10.1 from the data VLAN.,"PC2> ipconfig
IP Address......................: 192.168.40.22
Subnet Mask.....................: 255.255.255.0
Default Gateway.................: 192.168.10.1

PC2> ping 192.168.10.1
Request timed out.

PC2> ping 192.168.40.1
Reply from 192.168.40.1: bytes=32 time=1ms TTL=255

R1# show running-config interface vlan 40
interface Vlan40
 ip address 192.168.40.1 255.255.255.0
 no shutdown

S1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
40   VOICE                            active    Fa0/6","PC2 gateway 192.168.10.1 is not in 192.168.40.0/24, so the host never ARPs the real SVI 192.168.40.1 for off-net traffic.",L3,gateway,high,packet_tracer
GW-003,SVI gateway is administratively down,Every host in VLAN 50 can ping each other but none can leave the VLAN. The documented gateway 192.168.50.1 is unreachable.,Layer-3 switch MLS1 has SVI VLAN 50 192.168.50.1/24. Hosts are access VLAN 50. ip routing is enabled. A maintenance window left the SVI shut.,"PC3> ping 192.168.50.10
Reply from 192.168.50.10: bytes=32 time=1ms TTL=128

PC3> ping 192.168.50.1
Request timed out.

MLS1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
Vlan1                  10.0.0.1        YES manual up                    up
Vlan50                 192.168.50.1    YES manual administratively down down

MLS1# show interfaces vlan 50
Vlan50 is administratively down, line protocol is down
  Internet address is 192.168.50.1/24

MLS1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
50   GUEST                            active    Fa0/1, Fa0/2, Fa0/3","SVI Vlan50 is administratively down, so the default gateway 192.168.50.1 does not exist on the wire even though the VLAN itself is active.",L3,gateway,critical,packet_tracer
GW-004,Client has no default gateway configured,"PC4 can print to a local printer at 192.168.60.20 and open local shares, but any Internet or campus server address fails immediately.","Static addressing lab. VLAN 60 subnet 192.168.60.0/24, gateway 192.168.60.1 on R5. DHCP is disabled on this bench. PC4 was configured by hand.","PC4> ipconfig
IP Address......................: 192.168.60.44
Subnet Mask.....................: 255.255.255.0
Default Gateway.................: 0.0.0.0

PC4> ping 192.168.60.20
Reply from 192.168.60.20: bytes=32 time=1ms TTL=128

PC4> ping 8.8.8.8
Request timed out.

R5# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/1     192.168.60.1    YES manual up                    up
Serial0/0/0            10.1.1.1        YES manual up                    up

R5# show ip route
C    192.168.60.0/24 is directly connected, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.1.1.2",PC4 has no default gateway (0.0.0.0). Local subnet traffic works; all remote destinations have no next hop on the host.,L3,gateway,medium,packet_tracer
DHCP-001,DHCP pool network does not match the interface subnet,PC0 stays on APIPA 169.254.x.x after boot. The DHCP server service is running on R1 and the LAN interface is up.,R1 G0/0 is 192.168.10.1/24. A DHCP pool named STAFF was created with network 192.168.20.0/24 after a cut-and-paste from another lab.,"PC0> ipconfig
IP Address......................: 169.254.13.27
Subnet Mask.....................: 255.255.0.0
Default Gateway.................: 0.0.0.0

R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.10.1    YES manual up                    up

R1# show running-config | section dhcp
ip dhcp excluded-address 192.168.20.1 192.168.20.10
ip dhcp pool STAFF
 network 192.168.20.0 255.255.255.0
 default-router 192.168.20.1
 dns-server 192.168.20.5

R1# show ip dhcp binding
IP address       Client-ID/              Lease expiration        Type
                 Hardware address","The STAFF DHCP pool serves 192.168.20.0/24, but the connected interface is 192.168.10.1/24, so R1 never offers an address on the client VLAN.",L3,dhcp,high,packet_tracer
